Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,NL350,1000,33803630.06510658,1047.47,5.125211927605175,52.07616676913693
Education,NL350,1000,2941278.168214889,1047.3,5.12168013124639,52.09126246956639
Health,NL350,1000,814704.271176127,1046.425,5.1248351740277425,52.08470753902133
Hotels and Restaurants,NL350,1000,458946.0522052847,1053.65,5.097036039781541,52.03983924312135
Industrial,NL350,1000,32625080.224981584,1049.76,5.083103542086675,52.10354685424252
Offices,NL350,1000,2428999.8249274413,1045.0,5.194750382590023,52.0643140347603
Other non-residential buildings,NL350,1000,10632936.02702107,1047.53,5.16819349999671,52.05778294999429
Single family- Terraced houses,NL350,1000,72036391.62020199,1048.23,5.187627169213036,52.05127746155325
Sport,NL350,1000,423647.5723453224,1048.805,5.117039153034898,52.067891511371315
Trade,NL350,1000,15131941.704410734,1047.18,5.121152164295273,52.08400362369245
