Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,HU211,1200,475975.2373270499,1284.32,18.242640899995024,47.315863299986674
Apartment Block,HU211,1300,7033676.182564884,1301.46,18.459210848069528,47.19843966916445
Apartment Block,HU212,1200,6523242.789120234,1271.95,18.38898378880188,47.58060381945554
Apartment Block,HU213,1200,2936754.9165693885,1285.51,17.90564627111265,47.09192691731406
Education,HU211,1200,196609.2914264116,1292.94,18.295562399333882,47.24280203256804
Education,HU211,1300,663034.3576378529,1307.79,18.863479999734512,47.12027883651065
Education,HU212,1200,618178.8774762478,1273.89,18.729928810331444,47.73944733380313
Education,HU213,1200,489191.03492156207,1286.3,18.15134642576875,47.20674783013286
Education,HU213,1300,24032.52865783032,1302.35,17.957373372688444,47.01280377556016
Health,HU211,1200,7993.230127353221,1284.07,18.21378250307046,47.36949472339601
Health,HU211,1300,125848.55321891047,1311.38,18.944525926899587,46.9648341616934
Health,HU212,1200,61318.188766776584,1265.01,18.746309810534488,47.79025712550237
Health,HU213,1200,60838.67528550001,1286.905,17.910267878715384,47.08994029963826
Hotels and Restaurants,HU211,1200,54299.80791950715,1296.07,18.635227550002195,47.209064949994605
Hotels and Restaurants,HU211,1300,73740.52483617608,1301.55,18.4490677479328,47.201816500144936
Hotels and Restaurants,HU212,1200,77514.85313742282,1279.985,18.278877277223994,47.49428054986328
Hotels and Restaurants,HU213,1200,293896.30039222084,1288.95,17.929611649886024,47.09214299644367
Hotels and Restaurants,HU213,1300,7064.57849069935,1301.02,17.95051102192034,47.01464009879291
Industrial,HU211,1200,1763345.1217713952,1292.855,18.27377956646811,47.21044250913714
Industrial,HU211,1300,11036920.505231768,1304.14,18.749026634874095,47.13526725207877
Industrial,HU212,1200,9336276.905571744,1276.06,18.308283275689412,47.47579887857496
Industrial,HU213,1200,4859974.629693946,1285.26,17.551959141575164,47.08648548636417
Industrial,HU213,1300,98919.72511132085,1302.96,17.477926063670164,46.83997650317215
Offices,HU211,1200,40600.517914431635,1290.12,18.418097550172302,47.30981396035634
Offices,HU211,1300,292643.6321737685,1307.995,18.43320476790342,46.765307444857136
Offices,HU212,1200,188670.07332386705,1274.845,17.967808313569716,47.54124848391992
Offices,HU213,1200,179906.90954115544,1287.39,17.913049406100836,47.09116149289586
Offices,HU213,1300,7341.896033291705,1301.26,18.12466260000135,47.03194849999619
Other non-residential buildings,HU211,1200,583225.1747085834,1290.22,18.279338075476062,47.26385234729582
Other non-residential buildings,HU211,1300,1603751.6861863378,1304.475,18.788933137005483,47.11725401964929
Other non-residential buildings,HU212,1200,1803100.352775631,1275.31,18.725252289899448,47.7289080351137
Other non-residential buildings,HU213,1200,1425498.5139143139,1286.42,18.0425225138917,47.243595460068164
Other non-residential buildings,HU213,1300,57201.442207282525,1301.74,18.110631816818927,47.041560250474525
Single family- Terraced houses,HU211,1200,11228506.415332306,1293.69,18.591290549990948,47.18432274999526
Single family- Terraced houses,HU211,1300,11778803.812437782,1306.7,18.79310366302973,47.045782058665445
Single family- Terraced houses,HU212,1200,18777360.574931078,1276.71,18.145338449995847,47.49125934999688
Single family- Terraced houses,HU213,1100,105.03123965114355,1198.03,17.83335239998123,47.346587849962646
Single family- Terraced houses,HU213,1200,24841259.27309833,1286.51,17.48101104999712,46.80511249999319
Single family- Terraced houses,HU213,1300,2631139.482711863,1301.8,17.566846550011455,46.810970849986596
Sport,HU211,1200,95.67620166705456,1294.99,18.268882549996945,47.20586839999477
Sport,HU211,1300,122267.57819736842,1308.32,18.336440904391935,46.83914629442168
Sport,HU212,1200,30758.117701654322,1274.77,18.738906167190333,47.72151771909701
Sport,HU213,1200,18848.088772261515,1291.2949,18.028563250045814,47.072120548376404
Trade,HU211,1200,172144.01591147948,1293.785,18.60124419993911,47.241994449985064
Trade,HU211,1300,1100824.6798255972,1302.385,18.460389385823888,47.185944514659354
Trade,HU212,1100,71.41191062517464,1172.25,18.90354328086409,47.752659908846425
Trade,HU212,1200,738113.5888137163,1272.75,18.731097054681854,47.748092402594494
Trade,HU213,1200,869996.9175669686,1286.94,17.910804032932358,47.091486604938055
Trade,HU213,1300,26195.308539455,1301.07,18.108331409543506,47.03681057280059
