Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,3355531.0762935327,4.0,36382152.79366085,13422124.305174131,9376690.311554004,10.842442512512209
Apartment Block_AB_1_Before1945,Apartment Block,1900,4215603.163618789,4.0,49633977.65446473,16862412.654475156,9453555.63649465,11.773873329162598
Apartment Block_AB_2_Before1945,Apartment Block,1900,2951342.0796904685,5.0,46797411.496888846,14756710.398452342,7577991.002001373,15.856315612792969
Apartment Block_AB_3_Before1945,Apartment Block,1900,1323297.4405393605,7.0,27607882.457214564,9263082.083775524,4001727.4535590084,20.862945556640625
Apartment Block_AB_0_1945to1969,Apartment Block,1955,2373021.968112446,4.0,25268767.909282874,9492087.872449784,5799418.787972143,10.64834976196289
Apartment Block_AB_1_1945to1969,Apartment Block,1955,3542271.887816996,4.0,43423841.83148452,14169087.551267983,9259576.127698014,12.258754609106369
Apartment Block_AB_2_1945to1969,Apartment Block,1955,1713269.202021813,5.0,27630303.034448065,8566346.010109065,3842091.8025347223,16.127239666622035
Apartment Block_AB_3_1945to1969,Apartment Block,1955,944155.4468429659,7.0,19825094.37921344,6609088.127900762,3177314.6441687923,20.99770164489746
Apartment Block_AB_0_1970to1979,Apartment Block,1975,215855.2222449813,3.0,2019335.8175209442,647565.6667349439,883133.9117404945,9.355047316062302
Apartment Block_AB_1_1970to1979,Apartment Block,1975,276724.98008156416,4.0,3077576.2855701195,1106899.9203262567,647487.138900703,11.12142562866211
Apartment Block_AB_2_1970to1979,Apartment Block,1975,196341.7790854492,4.0,2554753.370640095,785367.1163417968,438929.0967877353,13.01176643371582
Apartment Block_AB_3_1970to1979,Apartment Block,1975,110742.65640240717,6.0,2042435.7131472956,664455.938414443,232221.00943630526,18.443080376595518
Apartment Block_AB_0_1980to1989,Apartment Block,1985,220749.6144738112,3.0,2065123.0884050154,662248.8434214336,903158.462037143,9.355047316062302
Apartment Block_AB_1_1980to1989,Apartment Block,1985,282999.5588383253,4.0,3147358.546564622,1131998.2353533013,662168.5350140027,11.12142562866211
Apartment Block_AB_2_1980to1989,Apartment Block,1985,200793.71528488857,4.0,2612680.9246450043,803174.8611395543,448881.560008139,13.01176643371582
Apartment Block_AB_3_1980to1989,Apartment Block,1985,113253.68203921465,6.0,2088746.760794628,679522.0922352879,237486.48641728904,18.443080376595518
Apartment Block_AB_0_1990to2000,Apartment Block,1995,377943.8268424947,3.0,3434481.4821332805,1133831.480527484,1484467.1669263197,9.0872802734375
Apartment Block_AB_1_1990to2000,Apartment Block,1995,751465.221902572,3.0,7571369.6721568005,2254395.665707716,1392271.0665317553,10.07547581907714
Apartment Block_AB_2_1990to2000,Apartment Block,1995,324771.7008399792,4.0,3883145.247495083,1299086.803359917,728113.8357208632,11.956538200378418
Apartment Block_AB_3_1990to2000,Apartment Block,1995,122164.93333659974,6.0,2159395.5897463565,732989.6000195985,439401.31698991254,17.676067352294922
Apartment Block_AB_0_2000to2010,Apartment Block,2005,232455.6393214881,3.0,2043732.70940173,697366.9179644643,1033664.9351421131,8.791925699747084
Apartment Block_AB_1_2000to2010,Apartment Block,2005,482085.94926622574,3.0,4834593.693676232,1446257.8477986772,1211115.700648247,10.028489112854004
Apartment Block_AB_2_2000to2010,Apartment Block,2005,131690.09467170513,4.0,1489424.947563768,526760.3786868205,330013.34121989075,11.310075759887695
Apartment Block_AB_3_2000to2010,Apartment Block,2005,44659.49820881221,6.0,755071.913174591,267956.9892528733,176470.2180412339,16.90730848887147
Apartment Block_AB_0_Post2010,Apartment Block,2020,181572.24625483574,3.0,1596369.6982086967,544716.7387645072,807400.778473018,8.791925699747084
Apartment Block_AB_1_Post2010,Apartment Block,2020,384759.04443923495,3.0,3908733.380120987,1154277.1333177048,814944.4848941122,10.158912276689298
Apartment Block_AB_2_Post2010,Apartment Block,2020,102334.93691452309,4.0,1147765.0916316607,409339.74765809235,260301.27774071178,11.21576976776123
Apartment Block_AB_3_Post2010,Apartment Block,2020,31155.96282612521,6.0,560000.2437863759,186935.77695675127,110629.61190641494,17.974095261045786
SFH_0_Before1945_1900,Single family- Terraced houses,1900,11552195.189285781,1.0,41056297.78274061,11552195.189285781,15882235.679098578,3.553982347945328
SFH_1_Before1945_1900,Single family- Terraced houses,1900,8483001.64084082,2.0,58074659.19863325,16966003.28168164,18861784.877626877,6.846003532409668
SFH_2_Before1945_1900,Single family- Terraced houses,1900,4554223.9620153345,3.0,36664669.98951563,13662671.886046004,8628041.406795243,8.050695419311523
SFH_0_1945to1969_1955,Single family- Terraced houses,1955,7922877.596906821,1.0,28157767.124338344,7922877.596906821,10892562.598615857,3.553982347945328
SFH_1_1945to1969_1955,Single family- Terraced houses,1955,6033899.025059965,2.0,41308094.03976378,12067798.05011993,13416254.081111198,6.846003532409668
SFH_2_1945to1969_1955,Single family- Terraced houses,1955,3266015.4340041038,3.0,26293695.493937574,9798046.302012311,6187512.216098797,8.050695419311523
SFH_0_1970to1979_1975,Single family- Terraced houses,1975,3642538.7639976665,1.0,12012897.822457165,3642538.7639976665,4747766.187462523,3.29794646008738
