Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,7027104.555338604,4.0,78888660.31736639,28108418.221354418,22416038.82329312,11.226339340209961
Apartment Block_AB_1_Before1945,Apartment Block,1900,12507512.76717865,4.0,167424763.88067004,50030051.0687146,43079229.724820465,13.3859358768767
Apartment Block_AB_2_Before1945,Apartment Block,1900,7724630.098592599,5.0,113817272.47057186,38623150.49296299,21796454.445025284,14.734333038330078
Apartment Block_AB_3_Before1945,Apartment Block,1900,3474720.406279654,6.0,63543586.242662914,20848322.437677924,12749353.580410892,18.287395477294922
Apartment Block_AB_0_1945to1969,Apartment Block,1955,6619132.485720146,4.0,74308627.42250183,26476529.942880586,21114632.578463748,11.226339340209961
Apartment Block_AB_1_1945to1969,Apartment Block,1955,11781365.058798738,4.0,157704597.21915558,47125460.23519495,40578182.19236957,13.3859358768767
Apartment Block_AB_2_1945to1969,Apartment Block,1955,7276161.842066422,5.0,107209391.82179593,36380809.21033211,20531019.36287246,14.734333038330078
Apartment Block_AB_3_1945to1969,Apartment Block,1955,3272988.8304461283,6.0,59854441.13513732,19637932.98267677,12009165.338506028,18.287395477294922
Apartment Block_AB_0_1970to1979,Apartment Block,1975,188275.16737512572,4.0,2004583.18259599,753100.6695005029,579466.5790236779,10.647092819213867
Apartment Block_AB_1_1970to1979,Apartment Block,1975,53032.790609689815,4.0,662142.0882082755,212131.16243875926,163190.21675732784,12.485522270202637
Apartment Block_AB_2_1970to1979,Apartment Block,1975,175320.95460842672,5.0,2479776.6985565173,876604.7730421335,626350.1387714661,14.1442117064387
Apartment Block_AB_3_1970to1979,Apartment Block,1975,12131.403495477454,7.0,239336.99817054707,84919.82446834218,41472.18204157475,19.728714675080347
Apartment Block_AB_0_1980to1989,Apartment Block,1985,261773.0570534329,4.0,2789897.9400915853,1047092.2282137315,803967.7969824461,10.65769705826568
Apartment Block_AB_1_1980to1989,Apartment Block,1985,84679.74776798437,4.0,1061269.4737669402,338718.9910719375,253243.4955242575,12.532742500305176
Apartment Block_AB_2_1980to1989,Apartment Block,1985,239362.9902733421,5.0,3392509.7751691975,1196814.9513667105,869640.3074270058,14.173075675964355
Apartment Block_AB_3_1980to1989,Apartment Block,1985,19758.254180810236,7.0,385304.9878947444,138307.77926567165,55751.752325023735,19.50096321105957
Apartment Block_AB_0_1990to2000,Apartment Block,1995,895830.3913878681,3.0,9057107.228816278,2687491.174163604,3203559.1578349588,10.110292434692383
Apartment Block_AB_1_1990to2000,Apartment Block,1995,1123426.5242472922,4.0,13464805.255956193,4493706.096989169,3366092.06168729,11.985479215009416
Apartment Block_AB_2_1990to2000,Apartment Block,1995,382027.00738854066,4.0,4679753.096133978,1528108.0295541626,1180803.6537110147,12.24979649507982
Apartment Block_AB_3_1990to2000,Apartment Block,1995,337103.58904669824,5.0,5468928.846215205,1685517.9452334912,1265840.233644147,16.223288697936724
Apartment Block_AB_0_2000to2010,Apartment Block,2005,296726.0788092506,3.0,2681365.1736048516,890178.2364277518,811136.329643141,9.036499873435655
Apartment Block_AB_1_2000to2010,Apartment Block,2005,257671.33081052924,4.0,3059734.7760525625,1030685.323242117,839225.7129821536,11.874564261487224
Apartment Block_AB_2_2000to2010,Apartment Block,2005,72362.62993753591,4.0,920153.5669193426,289450.51975014363,219548.72327136167,12.715866846100365
Apartment Block_AB_3_2000to2010,Apartment Block,2005,90075.17297412966,5.0,1264013.987022135,450375.8648706483,218370.35915752986,14.032878819840516
Apartment Block_AB_0_Post2010,Apartment Block,2020,134398.8442391052,3.0,1245175.730117807,403196.53271731565,419063.9103322085,9.264780044555664
Apartment Block_AB_1_Post2010,Apartment Block,2020,163751.8755384984,4.0,1823903.4508793496,655007.5021539936,450337.74058905593,11.138214111328125
Apartment Block_AB_2_Post2010,Apartment Block,2020,36526.56591382316,4.0,486247.5076643616,146106.26365529263,114829.3394966649,13.31216049194336
Apartment Block_AB_3_Post2010,Apartment Block,2020,58948.18966464233,5.0,852194.5139128178,294740.94832321163,173297.78508927795,14.456669810573878
SFH_0_Before1945_1900,Single family- Terraced houses,1900,1089855.6539823557,1.0,3033786.2197120637,1089855.6539823557,1037347.8335185247,2.783658742904663
SFH_1_Before1945_1900,Single family- Terraced houses,1900,691363.9554179056,2.0,4388854.246923811,1382727.9108358112,1240859.5967818098,6.348109722137452
SFH_2_Before1945_1900,Single family- Terraced houses,1900,98491.66958810574,2.0,656945.6899438652,196983.33917621148,161425.2682386649,6.670063495635986
SFH_0_1945to1969_1955,Single family- Terraced houses,1955,1026581.9879597309,1.0,2857653.9260925543,1026581.9879597309,977122.6099969451,2.783658742904663
SFH_1_1945to1969_1955,Single family- Terraced houses,1955,651225.4913420917,2.0,4134050.8728924715,1302450.9826841834,1168819.1064463693,6.348109722137452
SFH_2_1945to1969_1955,Single family- Terraced houses,1955,92773.54628915609,2.0,618805.4444639954,185547.09257831218,152053.41383498872,6.670063495635986
SFH_0_1970to1979_1975,Single family- Terraced houses,1975,153294.09607352692,1.0,407191.31680032634,153294.09607352692,139899.74496632814,2.6562752723693848
SFH_1_1970to1979_1975,Single family- Terraced houses,1975,6896.965760122472,2.0,36273.08279237564,13793.931520244943,12702.02951969546,5.259281262798602
SFH_2_1970to1979_1975,Single family- Terraced houses,1975,67481.72091956153,2.0,417559.9449972287,134963.44183912306,121836.70325251874,6.187748908996582
SFH_0_1980to1989_1985,Single family- Terraced houses,1985,291540.6032194455,1.0,813594.9842369806,291540.6032194455,279862.165637058,2.7906746959173283
